original_review_id,source,country,reviewId,userName,rating,review,title,date,version,discovery_score,categories,matched_terms,rating_bonus,priority_score,is_discovery_review,selected_for_gpt
6070,Apple App Store,AU,14197390709,Maddie stray kids fan,5,"Spotify is an amazing listening app, great for all genres, best & fav app I’ve installed , podcasts, videos, music! 100% recommend!!",Spotify is so good!,2026-06-18T06:41:16-07:00,9.1.56,7,"discovery,recommendation","genres,recommend",0,7,True,False
6903,Apple App Store,SG,14156611496,AaronEng,5,"Always love the recommendation playlist and the updates of musics.

Just a small feedback: the recent icon updates feel so dated. For mobile UI design. Look like a mistake.",Great apps for music fanatics,2026-06-07T18:09:36-07:00,9.1.48,7,"recommendation,playlist","playlist,recommendation",0,7,True,False
3660,Google Play,IN,db2a9274-645e-42a7-9a0a-59dbe784373d,Aisha Saji,4,should've never introduced the shuffle mode.. with the songs not in the playlist for common users... so hard for streaming songs....,,2026-06-27 23:07:38,9.1.60.1970,6,playlist,"playlist,shuffle",1,7,True,False
6162,Apple App Store,AU,14185720493,Tim_.tuanN,4,"Been enjoying the streaming platform for almost a decade, curated and found connections with others through music. However, I can’t stand what the owner supports and funds over supporting the indie artists.","Love the music, hate the owner/s",2026-06-15T06:58:57-07:00,9.1.56,6,artist,"artists,indie",1,7,True,False
6917,Apple App Store,SG,14141543845,qaznable,4,"I've been using this app since 2013, and the prices kept soaring. AI content started polluting the libraries and the interface is becoming clunkier with every update. 

Lately, I've been having connectivity issues exclusive to this app.
It's making accessing the music library or downloaded content difficult. I wonder if it's just me? 

I think the changes made on playlist sorting and radio has improved a lot though.",Expensive with connectivity issues,2026-06-03T20:53:13-07:00,9.1.48,6,playlist,"playlist,radio",1,7,True,False
6918,Apple App Store,SG,14140484979,AnishaRahmanZoha,4,Spotify is great and u can play music in the car w it and create playlist the only thing i dont really like is it doesn’t work on like games some of them it cancels out the song ur listening to but i really recommend this app!,Pros and cons,2026-06-03T13:46:24-07:00,9.1.48,6,"recommendation,playlist","playlist,recommend",1,7,True,False
2777,Google Play,IN,0d9a6f1a-ac15-4b04-82dc-dda9414f2c0f,Sean Haskell,3,"Good variety, price increases are annoying.",,2026-06-29 00:01:20,9.1.60.1970,5,discovery,variety,2,7,True,False
2887,Google Play,IN,38fff2ec-b0bd-4b1d-a61c-8cd383b36c57,Dipti Debsarma,3,"UI is not good at all , no new song recommendations ( very important) . 💘🦴🦴🦴🦴🦴🦴💩💩💩💩💩🥳🇺🇲🇯🇵🦞🦐",,2026-06-28 21:27:09,9.1.44.2120,5,recommendation,recommendations,2,7,True,False
3076,Google Play,IN,ad99f7c8-9410-4be7-b5c1-7edabe022041,Bwalya Joy Bwalya,3,the app is good it's just that the song recommendations n the frequent ads make it difficult to enjoy it.,,2026-06-28 17:11:35,9.1.50.1906,5,recommendation,recommendations,2,7,True,False
3368,Google Play,IN,aa3352a1-1f74-45b9-ac68-e388b4fa2519,Riley Butler,3,"I have premium, and I genuinely enjoy the app, but I am struggling to find songs that have been confirmed released on this platform, maybe its my region, but no information online says that certain songs arent avaliable in my country, and when I tried to find a song on the album it did not show up even though it is posted there on other's devices on the same app, maybe its a device problem but I warn others that if you want to be able to find every singulsr song to not go with this app.",,2026-06-28 09:57:21,9.1.60.1970,5,discovery,find songs,2,7,True,False
